    时间	    开度值	      蜗壳压力	      尾水管压力	    流量	      转速	      出力	  单位转速	  单位流量	  单位力矩	球阀前压力	球阀后压力	蜗壳进口压力	尾水管出口压力
  23.000	   0.156	       498.091	        57.509	    10.236	   432.247	    -3.740	    86.523	     0.028	    -0.258	429.890912	429.890912	499.348467	2311.903721
  23.200	   0.151	       500.342	        54.366	    10.778	   432.217	    -0.258	    85.996	     0.029	    -0.018	431.375669	431.375669	501.191725	2309.433270
  23.400	   0.146	       507.075	        56.809	    10.943	   432.249	     1.258	    85.592	     0.029	     0.085	437.007461	437.007461	506.699523	2311.454673
  23.600	   0.141	       516.876	        60.565	    11.218	   432.322	     3.733	    85.039	     0.030	     0.249	447.510624	447.510624	517.172088	2315.619501
  23.800	   0.136	       528.425	        64.597	    11.685	   432.487	     7.385	    84.382	     0.031	     0.484	459.710397	459.710397	529.336648	2319.539387
  24.000	   0.131	       540.826	        67.143	    12.212	   432.746	    11.751	    83.552	     0.032	     0.754	471.984689	471.984689	541.566960	2322.038593
  24.200	   0.126	       553.270	        67.302	    12.804	   433.133	    17.019	    82.566	     0.033	     1.063	485.054130	485.054130	554.423390	2321.854551
  24.400	   0.121	       567.455	        65.056	    13.552	   433.686	    23.992	    81.312	     0.034	     1.448	499.241436	499.241436	568.676132	2319.790293
  24.600	   0.116	       580.679	        61.237	    14.106	   434.426	    30.088	    80.105	     0.035	     1.754	511.911585	511.911585	581.407490	2316.477612
  24.800	   0.111	       590.579	        57.244	    14.252	   435.294	    33.127	    79.213	     0.035	     1.877	519.560016	519.560016	589.702647	2312.589516
  25.000	   0.106	       592.284	        52.822	    13.860	   436.175	    31.513	    78.918	     0.034	     1.762	521.108390	521.108390	591.574896	2308.696816
  25.200	   0.101	       590.120	        49.046	    13.170	   436.974	    27.331	    78.940	     0.032	     1.520	518.148983	518.148983	588.779899	2304.991434
  25.400	   0.096	       590.786	        45.689	    12.104	   437.619	    20.336	    78.758	     0.029	     1.121	518.197178	518.197178	589.212660	2301.895759
  25.600	   0.091	       588.717	        43.409	    10.723	   438.044	    10.900	    78.812	     0.026	     0.600	515.195905	515.195905	586.312974	2299.526106
  25.800	   0.086	       585.215	        42.426	     9.154	   438.196	     0.194	    79.015	     0.022	     0.011	511.731085	511.731085	583.060721	2298.937494
  26.000	   0.081	       580.498	        41.606	     7.332	   438.046	   -11.391	    79.266	     0.018	    -0.634	506.351586	506.351586	577.512090	2297.878657
  26.200	   0.076	       578.652	        41.739	     5.495	   437.595	   -22.243	    79.325	     0.013	    -1.244	504.604474	504.604474	575.758173	2298.188446
  26.400	   0.071	       581.596	        43.528	     3.837	   436.865	   -31.617	    79.104	     0.009	    -1.767	508.040231	508.040231	579.140525	2299.334255
  26.600	   0.065	       587.514	        43.346	     2.183	   435.910	   -40.438	    78.485	     0.005	    -2.240	513.448037	513.448037	584.811591	2300.176967
  26.800	   0.060	       602.090	        43.791	     0.084	   434.698	   -51.280	    77.269	     0.000	    -2.776	525.950417	525.950417	597.779729	2299.920495
  27.000	   0.055	       614.184	        41.134	    -2.256	   433.167	   -63.413	    76.000	    -0.005	    -3.357	538.633786	538.633786	610.292734	2297.862235
  27.200	   0.050	       617.057	        40.115	    -4.014	   431.300	   -74.397	    75.419	    -0.009	    -3.929	544.588039	544.588039	615.241186	2295.959355
  27.400	   0.045	       613.935	        45.474	    -4.375	   429.174	   -80.115	    75.606	    -0.010	    -4.315	544.425629	544.425629	614.362655	2300.615146
  27.600	   0.040	       619.268	        55.396	    -4.295	   426.946	   -81.848	    75.519	    -0.010	    -4.467	549.101203	549.101203	618.987795	2309.798496
  27.800	   0.035	       623.139	        66.960	    -4.371	   424.661	   -83.407	    75.632	    -0.011	    -4.640	552.600670	552.600670	622.684718	2321.753476
  28.000	   0.030	       620.951	        74.827	    -4.622	   422.322	   -84.181	    75.906	    -0.011	    -4.796	550.957707	550.957707	621.045138	2329.865958
  28.200	   0.025	       611.362	        73.250	    -4.422	   420.009	   -80.969	    76.049	    -0.011	    -4.708	542.708536	542.708536	612.370592	2327.565039
  28.400	   0.020	       602.169	        66.364	    -3.774	   417.817	   -74.713	    75.814	    -0.009	    -4.385	534.189542	534.189542	603.492089	2320.364550
